time,run 1
0,0
1,1
2,2
3,2
4,2
5,3
6,5
7,6
8,7
9,9
10,9
11,11
12,12
13,12
14,12
15,13
16,13
17,16
18,16
19,18
20,19
21,20
22,22
23,23
24,23
25,24
26,26
27,28
28,28
29,33
30,35
31,35
32,37
33,39
34,43
35,50
36,54
37,58
38,65
39,70
40,72
41,75
42,79
43,82
44,89
45,97
46,101
47,108
48,112
49,119
50,122
51,129
52,133
53,147
54,155
55,164
56,171
57,174
58,181
59,190
60,201
61,210
62,216
63,225
64,232
65,238
66,240
67,245
68,253
69,263
70,266
71,268
72,273
73,274
74,276
75,276
76,278
77,281
78,285
79,290
80,293
81,294
82,294
83,295
84,295
85,296
86,297
87,297
88,297
89,297
90,298
91,298
92,299
93,299
94,299
95,299
96,299
97,299
98,300
99,300
100,301
101,301
102,301
103,301
104,301
105,301
106,301
107,301
108,301
109,301
110,301
111,301
112,301
113,301
114,301
115,301
116,301
117,301
118,301
119,301
120,301
121,301
122,301
123,301
124,301
125,301
126,301
127,301
128,301
129,301
130,301
131,301
132,301
133,301
134,301
135,301
136,301
137,301
138,301
139,301
140,301
141,301
142,301
143,301
144,301
145,301
146,301
147,301
148,301
149,301
150,301
